iter,tr-acc,te-acc
0,0.07997312,0.08934169
250,0.65658605,0.1598746
500,0.65658605,0.1598746
750,0.65658605,0.1598746
1000,0.65658605,0.2539185
1250,0.99260753,0.42319748
1500,0.99260753,0.5188088
1750,0.99596775,0.5579937
2000,0.99596775,0.5689655
2250,0.99596775,0.5783699
2500,0.99596775,0.5846395
2750,0.99596775,0.5893417
3000,0.99596775,0.5940439
3250,0.99596775,0.6081505
3500,0.99596775,0.61128527
3750,0.99596775,0.6128527
4000,0.99596775,0.61755484
4250,0.99596775,0.62068963
4500,0.99596775,0.62695926
4750,0.99596775,0.6285266
5000,0.99596775,0.63322884
5250,0.99596775,0.63793105
5500,0.99596775,0.64106584
5750,0.99596775,0.6442006
6000,0.99596775,0.6473354
6250,0.99596775,0.65360504
6500,0.99596775,0.6583072
6750,0.99596775,0.6583072
7000,0.99596775,0.6598746
7250,0.99596775,0.6598746
7500,0.99596775,0.6598746
7750,0.99596775,0.6630094
8000,0.99596775,0.6630094
8250,0.99596775,0.6645768
8500,0.99596775,0.669279
8750,0.99596775,0.67241377
9000,0.99596775,0.67241377
9250,0.99596775,0.6755486
9500,0.99596775,0.6786834
9750,0.99596775,0.68025076
